rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
459,200,75,0,200,10050000,0,0,100,75,315,8.1387,100,0
460,200,75,0,200,10050000,0,0,100,75,316,8.13727,100,0
461,200,75,0,200,10050000,0,0,100,75,303,8.06572,100,0
462,200,75,0,200,10050000,0,0,100,75,322,8.15327,100,0
463,200,75,1,200,10050000,0,0,100,75,319,8.14474,100,0
464,200,76,1,200,10050000,0,0,100,76,310,8.1025,100,0
465,200,75,0,200,10050000,0,0,100,75,317,8.1456,100,0
466,200,93,1,200,10050000,0,0,100,93,297,8.04401,100,0
467,200,85,1,200,10050000,0,0,100,85,276,7.91983,100,0
468,200,75,1,200,10050000,0,0,100,75,315,8.1338,100,0
469,200,75,2,200,10050000,0,0,100,75,318,8.16082,100,0
470,200,75,0,200,10050000,0,0,100,75,319,8.16238,100,0
471,200,75,1,200,10050000,0,0,100,75,316,8.14132,100,0
472,200,75,0,200,10050000,0,0,100,75,319,8.14625,100,0
473,200,88,12,200,10050000,0,0,100,88,264,7.73456,100,0
474,200,79,121,200,10050000,0,0,100,79,263,7.80809,100,0
475,200,77,50,200,10050000,0,0,100,77,267,7.80901,100,0
476,200,75,0,200,10050000,0,0,100,75,313,8.1336,100,0
477,,,,
478,200,78,0,200,10050000,0,0,100,78,307,8.10592,100,0
479,200,84,26,200,10050000,0,0,100,84,269,7.84681,100,0
480,200,75,0,200,10050000,0,0,100,75,315,8.12381,100,0
481,200,75,0,200,10050000,0,0,100,75,310,8.11025,100,0
482,200,75,3,200,10050000,0,0,100,75,316,8.13438,100,0
483,200,77,22,200,10050000,0,0,100,77,273,7.8487,100,0
484,200,76,0,200,10050000,0,0,100,76,313,8.12348,100,0
485,200,75,0,200,10050000,0,0,100,75,310,8.09568,100,0
486,200,75,0,200,10050000,0,0,100,75,313,8.12499,100,0
487,200,75,0,200,10050000,0,0,100,75,312,8.11792,100,0
488,200,75,0,200,10050000,0,0,100,75,298,8.03143,100,0
489,200,75,0,200,10050000,0,0,100,75,322,8.15544,100,0
490,200,77,20,200,10050000,0,0,100,77,236,7.41721,100,0
491,200,75,0,200,10050000,0,0,100,75,249,6.0215,100,0
492,200,92,3,200,10050000,0,0,100,92,280,7.95213,100,0
493,200,87,1,200,10050000,0,0,100,87,277,7.89558,100,0
494,200,81,36,200,10050000,0,0,100,81,269,7.86759,100,0
495,200,48,0,200,10050000,0,0,100,48,309,8.10059,100,0
496,200,75,4,200,10050000,0,0,100,75,288,7.96562,100,0
497,200,79,27,200,10050000,0,0,100,79,254,7.64893,100,0
498,200,78,31,200,10050000,0,0,100,78,277,7.88412,100,0
499,200,76,4,200,10050000,0,0,100,76,314,8.13209,100,0
500,200,75,1,200,10050000,0,0,100,75,300,8.03305,100,0
